"RMS Level -> Normalize","KB5000_7 Any Frequency",,
Ch1,
X,Y,
Hz,dBSPL,Hz,dBSPL
4385.095807, 9.972
4416.872019, 9.951
4448.878495, 9.929
4481.116902, 9.905
4513.588923, 9.879
4546.296248, 9.852
4579.240585, 9.823
4612.423650, 9.792
4645.847173, 9.760
4679.512897, 9.726
4713.422576, 9.691
4747.577979, 9.654
4781.980887, 9.616
4816.633091, 9.576
4851.536400, 9.535
4886.692633, 9.492
4922.103622, 9.449
4957.771214, 9.403
4993.697268, 9.357
5029.883657, 9.309
5066.332267, 9.260
5103.044999, 9.210
5140.023767, 9.158
5177.270498, 9.106
5214.787134, 9.052
5252.575631, 8.997
5290.637960, 8.941
5328.976103, 8.883
5367.592061, 8.825
5406.487846, 8.765
5445.665485, 8.705
5485.127022, 8.643
5524.874514, 8.581
5564.910032, 8.517
5605.235664, 8.452
5645.853512, 8.386
5686.765694, 8.320
5727.974343, 8.252
5769.481606, 8.183
5811.289648, 8.113
5853.400648, 8.043
5895.816802, 7.971
5938.540321, 7.898
5981.573432, 7.825
6024.918379, 7.750
6068.577421, 7.674
6112.552835, 7.598
6156.846913, 7.520
6201.461963, 7.441
6246.400313, 7.362
6291.664305, 7.281
6337.256298, 7.199
6383.178669, 7.116
6429.433813, 7.033
6476.024141, 6.948
6522.952081, 6.862
6570.220081, 6.775
6617.830604, 6.687
6665.786133, 6.598
6714.089167, 6.507
6762.742225, 6.416
6811.747843, 6.323
6861.108575, 6.229
6910.826997, 6.133
6960.905698, 6.037
7011.347290, 5.938
7062.154403, 5.839
7113.329685, 5.738
7164.875804, 5.635
7216.795447, 5.531
7269.091322, 5.426
7321.766154, 5.318
7374.822690, 5.209
7428.263695, 5.099
7482.091956, 4.986
7536.310279, 4.872
7590.921490, 4.755
7645.928436, 4.637
7701.333985, 4.517
7757.141026, 4.395
7813.352468, 4.270
7869.971240, 4.144
7927.000296, 4.015
7984.442608, 3.884
8042.301171, 3.751
8100.579000, 3.615
8159.279135, 3.478
8218.404635, 3.338
8277.958583, 3.196
8337.944083, 3.052
8398.364263, 2.905
8459.222272, 2.756
8520.521284, 2.605
8582.264494, 2.452
8644.455120, 2.297
8707.096405, 2.140
8770.191615, 1.981
8833.744039, 1.821
8897.756989, 1.658
8962.233804, 1.495
9027.177845, 1.329
9092.592497, 1.163
9158.481170, 0.996
9224.847300, 0.827
9291.694346, 0.659
9359.025794, 0.489
9426.845153, 0.320
9495.155959, 0.150
9563.961773, -0.019
9633.266183, -0.188
9703.072800, -0.356
9773.385266, -0.523
9844.207244, -0.688
9915.542428, -0.852
9987.394536, -1.014
10059.767314, -1.174
10132.664534, -1.331
10206.089999, -1.486
10280.047534, -1.637
10354.540996, -1.786
10429.574268, -1.931
10505.151263, -2.073
10581.275919, -2.211
10657.952207, -2.345
10735.184122, -2.475
10812.975691, -2.601
10891.330970, -2.723
10970.254044, -2.842
11049.749027, -2.956
11129.820064, -3.066
11210.471328, -3.173
11291.707024, -3.275
11373.531388, -3.375
11455.948685, -3.471
11538.963212, -3.563
11622.579296, -3.653
11706.801296, -3.741
11791.633604, -3.826
11877.080642, -3.909
11963.146865, -3.990
12049.836758, -4.069
12137.154843, -4.148
12225.105670, -4.225
12313.693825, -4.302
12402.923926, -4.379
12492.800626, -4.456
12583.328609, -4.533
12674.512595, -4.611
12766.357338, -4.690
12858.867626, -4.770
12952.048282, -4.851
13045.904163, -4.933
13140.440162, -5.018
13235.661208, -5.104
13331.572266, -5.193
13428.178334, -5.283
13525.484449, -5.376
13623.495685, -5.472
13722.217151, -5.570
13821.653993, -5.670
13921.811396, -5.774
14022.694580, -5.879
14124.308805, -5.988
14226.659369, -6.099
14329.751608, -6.213
14433.590895, -6.329
14538.182644, -6.448
14643.532309, -6.569
14749.645380, -6.692
14856.527391, -6.818
14964.183912, -6.945
15072.620558, -7.074
15181.842980, -7.205
15291.856872, -7.337
15402.667971, -7.470
15514.282052, -7.605
15626.704935, -7.740
15739.942481, -7.875
15854.000592, -8.011
15968.885216, -8.146
16084.602341, -8.281
16201.158000, -8.416
16318.558270, -8.549
16436.809270, -8.682
16555.917165, -8.813
16675.888166, -8.942
16796.728526, -9.069
16918.444545, -9.194
17041.042568, -9.316
17164.528987, -9.435
17288.910240, -9.551
17414.192810, -9.663
17540.383230, -9.771
17667.488077, -9.875
17795.513979, -9.974
17924.467609, -10.069
18054.355690, -10.158
18185.184994, -10.242
18316.962341, -10.321
18449.694601, -10.393
18583.388693, -10.459
18718.051588, -10.518
18853.690306, -10.571
18990.311918, -10.616
19127.923546, -10.655
19266.532365, -10.686
19406.145601, -10.709
19546.770531, -10.725
19688.414488, -10.732

"Summary: Signal Path1.Acoustic Response.RMS Level -> Normalize","KB5000_7 Any Frequency",,
Channel,"Passed Lower Limit","Passed Upper Limit",
Ch1,N/A,N/A,
